config_id,description,return_column,stock_valid_ratio,pair_valid_ratio,window,analysis_date_count,mean_eligible_stock_count,mean_market_r2_median,mean_raw_corr,mean_residual_corr,mean_raw_industry_gap,mean_residual_industry_gap,mean_raw_top1_enrichment,mean_residual_top1_enrichment,mean_raw_residual_top1_overlap,share_residual_gap_positive,share_residual_enrichment_gt_1,base_residual_corr,base_residual_gap,base_residual_enrichment,delta_residual_mean_corr,delta_residual_industry_gap,residual_gap_ratio_to_base,delta_residual_top1_enrichment,core_residual_gap_positive,core_residual_enrichment_gt_1,core_monthly_gap_consistency,core_monthly_enrichment_consistency,core_conclusion_preserved
BASE,Baseline specification,return_network,0.9,0.9,60,12,4031.0,0.2974012519995041,0.28305200092139426,0.004141086865793041,0.07664588665169232,0.09297031837847201,3.867166373095234,4.951597002706053,0.3646163688814443,1.0,1.0,0.004141086865793041,0.09297031837847201,4.951597002706053,0.0,0.0,1.0,0.0,True,True,True,True,True
BASE,Baseline specification,return_network,0.9,0.9,120,12,3953.8333333333335,0.30895463897335035,0.297026412236616,0.003191601268689713,0.0737484189283276,0.08727061651867236,4.1428972599859595,5.827429529455507,0.36446966080424725,1.0,1.0,0.003191601268689713,0.08727061651867236,5.827429529455507,0.0,0.0,1.0,0.0,True,True,True,True,True
BASE,Baseline specification,return_network,0.9,0.9,252,11,3972.7272727272725,0.30913395780263614,0.2983147812039744,0.002526786404657527,0.0723812170718387,0.08748781377143745,4.6707039758908895,7.22677237598271,0.34786777921974765,1.0,1.0,0.002526786404657527,0.08748781377143745,7.22677237598271,0.0,0.0,1.0,0.0,True,True,True,True,True
C80,Looser 80% valid-observation requirement,return_network,0.8,0.8,60,12,4091.5833333333335,0.29529550672642163,0.28099161845654774,0.0038192233303980805,0.07742626973936144,0.08978230397016936,3.4405750982585115,4.752969392484991,0.3538395470619089,1.0,1.0,0.004141086865793041,0.09297031837847201,4.951597002706053,-0.0003218635353949605,-0.0031880144083026585,0.9657093310649469,-0.19862761022106135,True,True,True,True,True
C80,Looser 80% valid-observation requirement,return_network,0.8,0.8,120,12,4008.25,0.30729314405062,0.29493635561266623,0.0028511108604074493,0.07400638092686905,0.0876460166046389,4.132520059802979,5.993145571637329,0.3503319205454884,1.0,1.0,0.003191601268689713,0.08727061651867236,5.827429529455507,-0.0003404904082822636,0.0003754000859665374,1.0043015633547887,0.16571604218182134,True,True,True,True,True
C80,Looser 80% valid-observation requirement,return_network,0.8,0.8,252,11,4037.5454545454545,0.3074946400614067,0.2964318726478317,0.002367505166192369,0.07602747330827725,0.08718134782509752,5.096568056362501,7.282081537003515,0.3658898229626235,1.0,1.0,0.002526786404657527,0.08748781377143745,7.22677237598271,-0.00015928123846515804,-0.00030646594633992885,0.9964970441810265,0.055309161020804964,True,True,True,True,True
C95,Stricter 95% valid-observation requirement,return_network,0.95,0.95,60,12,3983.0833333333335,0.29860759176822066,0.2841627484507942,0.0041888481247737116,0.07715458330775932,0.08947154182999768,3.681802502614207,4.807485844922715,0.35874999999999996,1.0,1.0,0.004141086865793041,0.09297031837847201,4.951597002706053,4.7761258980670573e-05,-0.0034987765484743305,0.9623667358626095,-0.14411115778333805,True,True,True,True,True
C95,Stricter 95% valid-observation requirement,return_network,0.95,0.95,120,12,3856.5833333333335,0.3109162670883262,0.29865082014478517,0.004068581522405323,0.07569209773954065,0.08864956517932228,4.264443493363005,5.862017650985422,0.35847608701847,1.0,1.0,0.003191601268689713,0.08727061651867236,5.827429529455507,0.00087698025371561,0.0013789486606499146,1.015800835557921,0.03458812152991442,True,True,True,True,True
C95,Stricter 95% valid-observation requirement,return_network,0.95,0.95,252,11,3904.181818181818,0.31065266797212865,0.3000724941010478,0.002484484251686596,0.07428955841777855,0.08720544383768035,4.953911887319941,7.1283440092107835,0.35749753483657304,1.0,1.0,0.002526786404657527,0.08748781377143745,7.22677237598271,-4.23021529709312e-05,-0.00028236993375710395,0.9967724655402317,-0.09842836677192679,True,True,True,True,True
RETURN,Alternative last-trade return,return_last_trade_log,0.9,0.9,60,12,4042.6666666666665,0.29604973057601136,0.2825061054888079,0.004739363470382971,0.08175643995633135,0.09154147103230349,3.6169202821806152,4.756729759921634,0.36224631152394976,1.0,1.0,0.004141086865793041,0.09297031837847201,4.951597002706053,0.0005982766045899302,-0.0014288473461685214,0.9846311449601384,-0.1948672427844187,True,True,True,True,True
RETURN,Alternative last-trade return,return_last_trade_log,0.9,0.9,120,12,3961.3333333333335,0.30771790318139897,0.29581091476423454,0.0031272096886692424,0.07509730485964765,0.08988554779660489,4.365225960749444,5.9083438156564085,0.36495284913432124,1.0,1.0,0.003191601268689713,0.08727061651867236,5.827429529455507,-6.439158002047047e-05,0.002614931277932525,1.0299634789147276,0.08091428620090113,True,True,True,True,True
RETURN,Alternative last-trade return,return_last_trade_log,0.9,0.9,252,11,3976.181818181818,0.3079108851270135,0.2970790611194301,0.0024311862440799135,0.07375534553963621,0.08781196581717442,4.6936088931772515,7.242133403675072,0.3419041742712296,1.0,1.0,0.002526786404657527,0.08748781377143745,7.22677237598271,-9.560016057761364e-05,0.000324152045736964,1.0037051108235922,0.015361027692361695,True,True,True,True,True
